date,PriceUSD
18/07/2010,0.08584
19/07/2010,0.0808
20/07/2010,0.074735729
21/07/2010,0.079192863
22/07/2010,0.05846976
23/07/2010,0.06059287
24/07/2010,0.05454
25/07/2010,0.050540618
26/07/2010,0.056
27/07/2010,0.058622016
28/07/2010,0.058911099
29/07/2010,0.0699
30/07/2010,0.064657382
31/07/2010,0.067545799
1/08/2010,0.0611
2/08/2010,0.06
3/08/2010,0.060012151
4/08/2010,0.05701578
5/08/2010,0.061
6/08/2010,0.061671315
7/08/2010,0.059003945
8/08/2010,0.0609
9/08/2010,0.0704
10/08/2010,0.069338729
11/08/2010,0.067
12/08/2010,0.07
13/08/2010,0.0645
14/08/2010,0.066996434
15/08/2010,0.065117932
16/08/2010,0.0655
17/08/2010,0.07
18/08/2010,0.068
19/08/2010,0.0667
20/08/2010,0.0655
21/08/2010,0.0664
22/08/2010,0.065928989
23/08/2010,0.06491
24/08/2010,0.065
25/08/2010,0.0648
26/08/2010,0.064075114
27/08/2010,0.065
28/08/2010,0.0646
29/08/2010,0.064
30/08/2010,0.06497
31/08/2010,0.06
1/09/2010,0.062024828
2/09/2010,0.0634
3/09/2010,0.06085
4/09/2010,0.062178276
5/09/2010,0.06165
6/09/2010,0.0616
7/09/2010,0.061239118
8/09/2010,0.061
9/09/2010,0.061114971
10/09/2010,0.061011524
11/09/2010,0.063620865
12/09/2010,0.0615
13/09/2010,0.06218
14/09/2010,0.06199
15/09/2010,0.0604
16/09/2010,0.0619
17/09/2010,0.060000526
18/09/2010,0.061
19/09/2010,0.0627
20/09/2010,0.062101736
21/09/2010,0.06265
22/09/2010,0.06188187
23/09/2010,0.062153513
24/09/2010,0.0622
25/09/2010,0.06202
26/09/2010,0.062
27/09/2010,0.062200442
28/09/2010,0.061903898
29/09/2010,0.06191
30/09/2010,0.0619
1/10/2010,0.061973314
2/10/2010,0.0614
3/10/2010,0.061064868
4/10/2010,0.061294477
5/10/2010,0.0614
6/10/2010,0.06281
7/10/2010,0.067
8/10/2010,0.084453108
9/10/2010,0.0938
10/10/2010,0.097146201
11/10/2010,0.095
12/10/2010,0.0949
13/10/2010,0.104865589
14/10/2010,0.102
15/10/2010,0.105
16/10/2010,0.101
17/10/2010,0.102
18/10/2010,0.1024
19/10/2010,0.097544892
20/10/2010,0.099
21/10/2010,0.107
22/10/2010,0.1025
23/10/2010,0.104556424
24/10/2010,0.11501
25/10/2010,0.139118553
26/10/2010,0.151
27/10/2010,0.1877
28/10/2010,0.1731
29/10/2010,0.19
30/10/2010,0.197610544
31/10/2010,0.1925
1/11/2010,0.194525061
2/11/2010,0.1938
3/11/2010,0.1931
4/11/2010,0.229275161
5/11/2010,0.259112414
6/11/2010,0.400982303
7/11/2010,0.34
8/11/2010,0.243184629
9/11/2010,0.217272694
10/11/2010,0.229549731
11/11/2010,0.2231
12/11/2010,0.2682
13/11/2010,0.276
14/11/2010,0.27904
15/11/2010,0.268464556
16/11/2010,0.225
17/11/2010,0.241939334
18/11/2010,0.269057791
19/11/2010,0.27829
20/11/2010,0.283015965
21/11/2010,0.27675
22/11/2010,0.285
23/11/2010,0.28295
24/11/2010,0.282905736
25/11/2010,0.28
26/11/2010,0.2844
27/11/2010,0.283
28/11/2010,0.271358679
29/11/2010,0.230559456
30/11/2010,0.2082
1/12/2010,0.2275
2/12/2010,0.255
3/12/2010,0.251060084
4/12/2010,0.205000526
5/12/2010,0.202850018
6/12/2010,0.204
7/12/2010,0.233420386
8/12/2010,0.2388
9/12/2010,0.199991694
10/12/2010,0.204
11/12/2010,0.228
12/12/2010,0.219853612
13/12/2010,0.227605237
14/12/2010,0.24669
15/12/2010,0.24
16/12/2010,0.24996
17/12/2010,0.242655815
18/12/2010,0.241
19/12/2010,0.2401
20/12/2010,0.267
21/12/2010,0.241436002
22/12/2010,0.25
23/12/2010,0.249970128
24/12/2010,0.248
25/12/2010,0.2499
26/12/2010,0.264962127
27/12/2010,0.264785389
28/12/2010,0.281
29/12/2010,0.3
30/12/2010,0.3
31/12/2010,0.3
1/01/2011,0.3
2/01/2011,0.29997
3/01/2011,0.295
4/01/2011,0.29895
5/01/2011,0.298916302
6/01/2011,0.298
7/01/2011,0.32
8/01/2011,0.3229
9/01/2011,0.323
10/01/2011,0.32659
11/01/2011,0.32659
12/01/2011,0.318799621
13/01/2011,0.3176
14/01/2011,0.399990006
15/01/2011,0.386
16/01/2011,0.38679
17/01/2011,0.3495
18/01/2011,0.31299
19/01/2011,0.31299
20/01/2011,0.39
21/01/2011,0.41991
22/01/2011,0.440035529
23/01/2011,0.4424
24/01/2011,0.4199
25/01/2011,0.41
26/01/2011,0.41508513
27/01/2011,0.4212
28/01/2011,0.444484044
29/01/2011,0.439
30/01/2011,0.477142034
31/01/2011,0.52513687
1/02/2011,0.707510117
2/02/2011,0.725434822
3/02/2011,0.693898368
4/02/2011,0.810958971
5/02/2011,0.911671477
6/02/2011,0.898
7/02/2011,0.88942137
8/02/2011,0.918
9/02/2011,1.016050245
10/02/2011,0.979652963
11/02/2011,1.054069454
12/02/2011,1.078703284
13/02/2011,1.05
14/02/2011,1.070012624
15/02/2011,1.05
16/02/2011,1.031687629
17/02/2011,1.039923198
18/02/2011,0.898955915
19/02/2011,0.944028117
20/02/2011,0.865
21/02/2011,0.835747428
22/02/2011,0.87704178
23/02/2011,0.9
24/02/2011,0.989095266
25/02/2011,0.914652002
26/02/2011,0.958
27/02/2011,0.895033115
28/02/2011,0.860220923
1/03/2011,0.921096892
2/03/2011,0.9399
3/03/2011,0.939073383
4/03/2011,0.9011
5/03/2011,0.907840607
6/03/2011,0.884770973
7/03/2011,0.877583864
8/03/2011,0.866071591
9/03/2011,0.86
10/03/2011,0.92067031
11/03/2011,0.88
12/03/2011,0.917815513
13/03/2011,0.89249
14/03/2011,0.893924923
15/03/2011,0.87224
16/03/2011,0.851211666
17/03/2011,0.82542
18/03/2011,0.801959208
19/03/2011,0.765
20/03/2011,0.7415
21/03/2011,0.75897
22/03/2011,0.809130293
23/03/2011,0.84971
24/03/2011,0.872374366
25/03/2011,0.88377
26/03/2011,0.8552
27/03/2011,0.822
28/03/2011,0.7947405
29/03/2011,0.792509942
30/03/2011,0.789706312
31/03/2011,0.78461
1/04/2011,0.77411
2/04/2011,0.78199
3/04/2011,0.779
4/04/2011,0.68
5/04/2011,0.715691835
6/04/2011,0.74
7/04/2011,0.7538
8/04/2011,0.74999
9/04/2011,0.734060517
10/04/2011,0.733156821
11/04/2011,0.770113933
12/04/2011,0.861381608
13/04/2011,0.930320058
14/04/2011,0.998629766
15/04/2011,0.983673137
16/04/2011,1.046632858
17/04/2011,1.098122098
18/04/2011,1.149433312
19/04/2011,1.185162221
20/04/2011,1.142125985
21/04/2011,1.207338872
22/04/2011,1.404505082
23/04/2011,1.828852301
24/04/2011,1.63198422
25/04/2011,1.564483635
26/04/2011,1.77084089
27/04/2011,1.903175959
28/04/2011,2.285744466
29/04/2011,2.85060509
30/04/2011,3.5
1/05/2011,3.094227553
2/05/2011,3.2
3/05/2011,3.360585704
4/05/2011,3.408673047
5/05/2011,3.343736684
6/05/2011,3.455075584
7/05/2011,3.641262978
8/05/2011,3.848668377
9/05/2011,3.804089582
10/05/2011,5.651667002
11/05/2011,5.439751044
12/05/2011,6.334878694
13/05/2011,8.139034867
14/05/2011,7.007243829
15/05/2011,6.924924845
16/05/2011,7.885140745
17/05/2011,7.257199541
18/05/2011,6.763163362
19/05/2011,6.890143632
20/05/2011,5.618096219
21/05/2011,6.084800667
22/05/2011,6.71195604
23/05/2011,7.065256784
24/05/2011,7.402660582
25/05/2011,8.569289637
26/05/2011,8.782155434
27/05/2011,8.528658468
28/05/2011,8.34926912
29/05/2011,8.400953472
30/05/2011,8.779342465
31/05/2011,8.721576422
1/06/2011,9.623777232
2/06/2011,10.70276023
3/06/2011,14.26464677
4/06/2011,18.31273873
5/06/2011,16.5433424
6/06/2011,18.40209864
7/06/2011,23.23787846
8/06/2011,29.02992133
9/06/2011,28.79054402
10/06/2011,24.04939923
11/06/2011,14.74974663
12/06/2011,18.85014473
13/06/2011,19.54232911
14/06/2011,19.25773551
15/06/2011,19.46414262
16/06/2011,17.92936254
17/06/2011,15.43636891
18/06/2011,16.87540454
19/06/2011,17.51071679
20/06/2011,17.51071679
21/06/2011,17.51071679
22/06/2011,17.51071679
23/06/2011,17.51071679
24/06/2011,17.51071679
25/06/2011,17.51071679
26/06/2011,16.36134202
27/06/2011,16.75228581
28/06/2011,16.96183531
29/06/2011,16.85456832
30/06/2011,16.18526278
1/07/2011,15.4203574
2/07/2011,15.38284407
3/07/2011,15.45755056
4/07/2011,13.85279681
5/07/2011,12.96481771
6/07/2011,14.71478358
7/07/2011,14.79728916
8/07/2011,14.2990377
9/07/2011,14.38150067
10/07/2011,14.62293755
11/07/2011,14.31015543
12/07/2011,14.02127262
13/07/2011,13.97145452
14/07/2011,13.99797455
15/07/2011,13.80639041
16/07/2011,13.7130793
17/07/2011,13.25813531
18/07/2011,13.63052125
19/07/2011,13.82479484
20/07/2011,13.67833059
21/07/2011,13.61180844
22/07/2011,13.69854733
23/07/2011,13.68171834
24/07/2011,13.99251518
25/07/2011,14.03342538
26/07/2011,13.87803232
27/07/2011,13.87822476
28/07/2011,13.49159108
29/07/2011,13.51231639
30/07/2011,13.54028067
31/07/2011,13.3729061
1/08/2011,13.01911385
2/08/2011,12.21415644
3/08/2011,9.286356914
4/08/2011,10.76850375
5/08/2011,9.73015396
6/08/2011,6.964169736
7/08/2011,8.501793292
8/08/2011,7.775337638
9/08/2011,9.802499481
10/08/2011,10.05125313
11/08/2011,9.438412995
12/08/2011,9.452993285
13/08/2011,10.00402474
14/08/2011,10.80682077
15/08/2011,11.13069655
16/08/2011,10.99196557
17/08/2011,10.96396406
18/08/2011,10.85847146
19/08/2011,11.67047304
20/08/2011,11.45973174
21/08/2011,11.35448134
22/08/2011,10.92089582
23/08/2011,10.91724505
24/08/2011,10.87044429
25/08/2011,9.546093674
26/08/2011,8.126920163
27/08/2011,8.596497607
28/08/2011,9.0308664
29/08/2011,8.961157271
30/08/2011,8.809948738
31/08/2011,8.199151764
1/09/2011,8.234281665
2/09/2011,8.621424438
3/09/2011,8.449653441
4/09/2011,8.203470602
5/09/2011,7.597332525
6/09/2011,6.846530029
7/09/2011,7.162970274
8/09/2011,6.67818
9/09/2011,4.986777042
10/09/2011,4.742846655
11/09/2011,5.852903973
12/09/2011,6.090629472
13/09/2011,5.802523277
14/09/2011,5.59743261
15/09/2011,4.867755185
16/09/2011,4.831168101
17/09/2011,4.775285635
18/09/2011,5.236732278
19/09/2011,5.520376692
20/09/2011,6.146665552
21/09/2011,5.597067498
22/09/2011,5.475048777
23/09/2011,5.56342142
24/09/2011,5.457889687
25/09/2011,5.341154881
26/09/2011,4.873826081
27/09/2011,4.911157793
28/09/2011,4.763415321
29/09/2011,4.777660978
30/09/2011,5.14368591
1/10/2011,5.034070545
2/10/2011,5.007062597
3/10/2011,5.02284486
4/10/2011,4.956805621
5/10/2011,4.885067131
6/10/2011,4.730166296
7/10/2011,4.276035757
8/10/2011,3.981252994
9/10/2011,4.111634643
10/10/2011,4.074962484
11/10/2011,4.008924496
12/10/2011,4.166235342
13/10/2011,4.03698109
14/10/2011,3.986280885
15/10/2011,3.83733856
16/10/2011,3.609741717
17/10/2011,2.581246722
18/10/2011,2.422274738
19/10/2011,2.217254713
20/10/2011,2.356123508
21/10/2011,2.570092305
22/10/2011,3.155486139
23/10/2011,3.14775093
24/10/2011,2.522935998
25/10/2011,2.801923831
26/10/2011,2.777505239
27/10/2011,3.045407828
28/10/2011,3.179639437
29/10/2011,3.569188969
30/10/2011,3.257403723
31/10/2011,3.265098213
1/11/2011,3.171007743
2/11/2011,3.255800567
3/11/2011,3.168316385
4/11/2011,3.120118172
5/11/2011,2.977817598
6/11/2011,2.962720577
7/11/2011,3.017757687
8/11/2011,3.056567111
9/11/2011,2.919567224
10/11/2011,2.856702085
11/11/2011,3.067861733
12/11/2011,3.025522996
13/11/2011,2.986373303
14/11/2011,2.224224464
15/11/2011,2.322384116
16/11/2011,2.546780931
17/11/2011,2.279095836
18/11/2011,2.105066003
19/11/2011,2.203456722
20/11/2011,2.20198951
21/11/2011,2.279879165
22/11/2011,2.322458596
23/11/2011,2.330323568
24/11/2011,2.438879
25/11/2011,2.496161003
26/11/2011,2.471799969
27/11/2011,2.477564951
28/11/2011,2.541240252
29/11/2011,2.757698483
30/11/2011,2.966041546
1/12/2011,3.08258945
2/12/2011,3.100402333
3/12/2011,2.803856185
4/12/2011,2.819693976
5/12/2011,2.874796227
6/12/2011,3.025360451
7/12/2011,2.985502421
8/12/2011,2.991880483
9/12/2011,2.955791952
10/12/2011,3.068975267
11/12/2011,3.249268847
12/12/2011,3.187335357
13/12/2011,3.241088409
14/12/2011,3.155086504
15/12/2011,3.203138541
16/12/2011,3.209137777
17/12/2011,3.192541704
18/12/2011,3.194010809
19/12/2011,3.525773919
20/12/2011,3.952550827
21/12/2011,3.888993251
22/12/2011,3.903060421
23/12/2011,3.937965076
24/12/2011,3.939419119
25/12/2011,4.233866878
26/12/2011,3.999121964
27/12/2011,4.095518546
28/12/2011,4.207295876
29/12/2011,4.173352227
30/12/2011,4.31063509
31/12/2011,4.714306331
1/01/2012,5.294842777
2/01/2012,5.204877892
3/01/2012,4.870508829
4/01/2012,5.585706267
5/01/2012,6.874000877
6/01/2012,6.68331664
7/01/2012,6.796227981
8/01/2012,7.096650566
9/01/2012,6.288538342
10/01/2012,6.528474555
11/01/2012,6.889127721
12/01/2012,6.773564196
13/01/2012,6.45436889
14/01/2012,6.761727143
15/01/2012,7.046922558
16/01/2012,6.715607667
17/01/2012,5.59962195
18/01/2012,5.900231288
19/01/2012,6.315706342
20/01/2012,6.501491988
21/01/2012,6.180568326
22/01/2012,6.302967227
23/01/2012,6.374876077
24/01/2012,6.274476476
25/01/2012,5.810465072
26/01/2012,5.367226954
27/01/2012,5.303137197
28/01/2012,5.659796775
29/01/2012,5.391429457
30/01/2012,5.503481939
31/01/2012,5.538220296
1/02/2012,6.075232652
2/02/2012,6.099572913
3/02/2012,5.951610928
4/02/2012,5.895413239
5/02/2012,5.678115717
6/02/2012,5.482664058
7/02/2012,5.6620277
8/02/2012,5.61852819
9/02/2012,5.835699854
10/02/2012,5.937834155
11/02/2012,5.612132853
12/02/2012,5.519097169
13/02/2012,5.348354559
14/02/2012,4.483654092
15/02/2012,4.325520322
16/02/2012,4.255239045
17/02/2012,4.391538373
18/02/2012,4.270081278
19/02/2012,4.389551458
20/02/2012,4.365135939
21/02/2012,4.315115602
22/02/2012,4.419310288
23/02/2012,5.039515118
24/02/2012,5.025608759
25/02/2012,4.772567381
26/02/2012,4.926420852
27/02/2012,4.952515756
28/02/2012,4.857257776
29/02/2012,4.872748756
1/03/2012,4.922072124
2/03/2012,4.714823587
3/03/2012,4.628193252
4/03/2012,4.834144482
5/03/2012,4.982392904
6/03/2012,4.987841352
7/03/2012,4.949112885
8/03/2012,4.934979495
9/03/2012,4.872297847
10/03/2012,4.841423805
11/03/2012,4.892028752
12/03/2012,4.910839379
13/03/2012,5.290880279
14/03/2012,5.390543292
15/03/2012,5.340820899
16/03/2012,5.339574791
17/03/2012,5.236003554
18/03/2012,5.270148985
19/03/2012,4.678672553
20/03/2012,4.830830216
21/03/2012,4.817229525
22/03/2012,4.729608505
23/03/2012,4.691643177
24/03/2012,4.651986266
25/03/2012,4.552270262
26/03/2012,4.63272236
27/03/2012,4.811340735
28/03/2012,4.790589392
29/03/2012,4.794066572
30/03/2012,4.861409357
31/03/2012,4.889776873
1/04/2012,4.793325677
2/04/2012,4.983045479
3/04/2012,4.956233193
4/04/2012,4.917842178
5/04/2012,4.920849245
6/04/2012,4.949107432
7/04/2012,4.70971191
8/04/2012,4.778818849
9/04/2012,4.852547381
10/04/2012,4.841417594
11/04/2012,4.915250717
12/04/2012,4.901158147
13/04/2012,4.934406733
14/04/2012,4.956364661
15/04/2012,4.961600338
16/04/2012,4.950764569
17/04/2012,4.968744508
18/04/2012,5.124377443
19/04/2012,5.130906511
20/04/2012,5.366515968
21/04/2012,5.282550339
22/04/2012,5.195608995
23/04/2012,5.110888192
24/04/2012,5.087867262
25/04/2012,5.148816245
26/04/2012,5.097419286
27/04/2012,5.09588734
28/04/2012,4.970736653
29/04/2012,4.902606178
30/04/2012,4.94211681
1/05/2012,4.987137227
2/05/2012,5.053437354
3/05/2012,5.118872979
4/05/2012,5.085507088
5/05/2012,5.056639565
6/05/2012,5.047800773
7/05/2012,5.067555867
8/05/2012,5.023466423
9/05/2012,5.041306236
10/05/2012,4.92748872
11/05/2012,4.963709977
12/05/2012,4.946532235
13/05/2012,4.944795054
14/05/2012,5.011435922
15/05/2012,5.0336404
16/05/2012,5.087784509
17/05/2012,5.089661686
18/05/2012,5.118301483
19/05/2012,5.112545811
20/05/2012,5.094200968
21/05/2012,5.09422131
22/05/2012,5.089139189
23/05/2012,5.1288589
24/05/2012,5.119157759
25/05/2012,5.137276807
26/05/2012,5.103978805
27/05/2012,5.134616135
28/05/2012,5.136325419
29/05/2012,5.148470698
30/05/2012,5.138264569
31/05/2012,5.181639721
1/06/2012,5.266943758
2/06/2012,5.24363906
3/06/2012,5.212704985
4/06/2012,5.258765857
5/06/2012,5.426014295
6/06/2012,5.446169422
7/06/2012,5.58716981
8/06/2012,5.622529102
9/06/2012,5.557002335
10/06/2012,5.457893569
11/06/2012,5.586996982
12/06/2012,5.727491299
13/06/2012,5.909301324
14/06/2012,5.962023182
15/06/2012,6.523380719
16/06/2012,6.444158282
17/06/2012,6.199966488
18/06/2012,6.310844669
19/06/2012,6.494826716
20/06/2012,6.693551056
21/06/2012,6.672262504
22/06/2012,6.563761698
23/06/2012,6.447541689
24/06/2012,6.350494039
25/06/2012,6.31747363
26/06/2012,6.432860829
27/06/2012,6.615713402
28/06/2012,6.590064633
29/06/2012,6.658776757
30/06/2012,6.680427623
1/07/2012,6.626860092
2/07/2012,6.743478051
3/07/2012,6.449992403
4/07/2012,6.514835333
5/07/2012,6.642398604
6/07/2012,6.672181189
7/07/2012,6.808273712
8/07/2012,6.796317688
9/07/2012,7.032395886
10/07/2012,7.178580036
11/07/2012,7.185147789
12/07/2012,7.55593565
13/07/2012,7.630921256
14/07/2012,7.580129178
15/07/2012,7.62723486
16/07/2012,8.493405677
17/07/2012,8.751984855
18/07/2012,9.095192686
19/07/2012,8.879533414
20/07/2012,8.532450679
21/07/2012,8.875645841
22/07/2012,8.506562544
23/07/2012,8.531211269
24/07/2012,8.574585171
25/07/2012,8.769347273
26/07/2012,8.875765046
27/07/2012,8.891459894
28/07/2012,8.842560894
29/07/2012,8.747680659
30/07/2012,9.088317249
31/07/2012,9.320998402
1/08/2012,9.568020904
2/08/2012,10.5510397
3/08/2012,10.91586475
4/08/2012,10.91971488
5/08/2012,10.80511738
6/08/2012,10.8694465
7/08/2012,10.94127944
8/08/2012,11.0703916
9/08/2012,11.10372474
10/08/2012,11.4475688
11/08/2012,11.54253553
12/08/2012,11.59255239
13/08/2012,11.98496299
14/08/2012,12.18709748
15/08/2012,13.17007735
16/08/2012,13.45079082
17/08/2012,12.07700554
18/08/2012,11.57750716
19/08/2012,7.830621842
20/08/2012,9.979876649
21/08/2012,9.902982018
22/08/2012,9.772554579
23/08/2012,10.08865743
24/08/2012,10.59404259
25/08/2012,10.58367667
26/08/2012,10.54553074
27/08/2012,10.90038008
28/08/2012,10.93295853
29/08/2012,10.8677839
30/08/2012,10.72774884
31/08/2012,10.10240982
1/09/2012,10.00653294
2/09/2012,10.2261162
3/09/2012,10.49713431
4/09/2012,10.36400189
5/09/2012,11.02552288
6/09/2012,11.16076902
7/09/2012,11.07612234
8/09/2012,11.04327003
9/09/2012,11.06209549
10/09/2012,11.1252888
11/09/2012,11.26809296
12/09/2012,11.31528591
13/09/2012,11.38029929
14/09/2012,11.73010762
15/09/2012,11.71839342
16/09/2012,11.88691122
17/09/2012,11.90831716
18/09/2012,12.25965084
19/09/2012,12.5048541
20/09/2012,12.36717665
21/09/2012,12.33365784
22/09/2012,12.21372763
23/09/2012,12.16546303
24/09/2012,12.11358872
25/09/2012,12.18240539
26/09/2012,12.31981686
27/09/2012,12.3187514
28/09/2012,12.38145739
29/09/2012,12.40475151
30/09/2012,12.39162247
1/10/2012,12.38939516
2/10/2012,12.8072381
3/10/2012,12.95543049
4/10/2012,12.86238578
5/10/2012,12.75221942
6/10/2012,12.50512971
7/10/2012,11.87399709
8/10/2012,11.73332975
9/10/2012,11.82866344
10/10/2012,12.10918848
11/10/2012,12.06755181
12/10/2012,12.02806816
13/10/2012,11.92680383
14/10/2012,11.65057796
15/10/2012,11.90830953
16/10/2012,11.84801807
17/10/2012,11.91938816
18/10/2012,11.92593284
19/10/2012,11.7574858
20/10/2012,11.69437755
21/10/2012,11.65741141
22/10/2012,11.74107791
23/10/2012,11.70778173
24/10/2012,11.63435239
25/10/2012,10.75362982
26/10/2012,10.13061949
27/10/2012,10.4581863
28/10/2012,10.70996208
29/10/2012,10.63073898
30/10/2012,10.85932306
31/10/2012,11.14607184
1/11/2012,10.61353575
2/11/2012,10.53050364
3/11/2012,10.65074702
4/11/2012,10.79688289
5/11/2012,10.74082074
6/11/2012,10.8681975
7/11/2012,10.95409894
8/11/2012,10.89269937
9/11/2012,10.81586722
10/11/2012,10.86326044
11/11/2012,10.84184064
12/11/2012,11.03134246
13/11/2012,10.99800278
14/11/2012,10.95895242
15/11/2012,11.17510986
16/11/2012,11.70504483
17/11/2012,11.7500424
18/11/2012,11.66563103
19/11/2012,11.75052935
20/11/2012,11.69917032
21/11/2012,11.72913518
22/11/2012,12.29199795
23/11/2012,12.28028762
24/11/2012,12.4132044
25/11/2012,12.52968949
26/11/2012,12.18462624
27/11/2012,12.15927538
28/11/2012,12.33165983
29/11/2012,12.49766165
30/11/2012,12.58613893
1/12/2012,12.59238687
2/12/2012,12.49794476
3/12/2012,12.65695784
4/12/2012,13.36958958
5/12/2012,13.31275022
6/12/2012,13.47792454
7/12/2012,13.47728245
8/12/2012,13.49998441
9/12/2012,13.34651089
10/12/2012,13.49225658
11/12/2012,13.61541567
12/12/2012,13.66821364
13/12/2012,13.75525152
14/12/2012,13.60092225
15/12/2012,13.53094829
16/12/2012,13.33286108
17/12/2012,13.32007195
18/12/2012,13.27203387
19/12/2012,13.53854318
20/12/2012,13.57002703
21/12/2012,13.428968
22/12/2012,13.42721391
23/12/2012,13.31810576
24/12/2012,13.42666267
25/12/2012,13.365567
26/12/2012,13.45469902
27/12/2012,13.39930318
28/12/2012,13.45550722
29/12/2012,13.37400386
30/12/2012,13.4450138
31/12/2012,13.54555244
1/01/2013,13.33137142
2/01/2013,13.28060681
3/01/2013,13.38408115
4/01/2013,13.45172115
5/01/2013,13.45940677
6/01/2013,13.50449651
7/01/2013,13.55606166
8/01/2013,13.78035063
9/01/2013,13.82095526
10/01/2013,14.12317286
11/01/2013,14.22762112
12/01/2013,14.21428566
13/01/2013,14.16078827
14/01/2013,14.31797032
15/01/2013,14.31363775
16/01/2013,14.70781405
17/01/2013,15.59859974
18/01/2013,15.71579112
19/01/2013,15.5881264
20/01/2013,15.71959214
21/01/2013,16.78101952
22/01/2013,17.30017884
23/01/2013,17.53639542
24/01/2013,16.90108607
25/01/2013,17.40720203
26/01/2013,17.55362918
27/01/2013,17.86462801
28/01/2013,18.79426487
29/01/2013,19.51471419
30/01/2013,19.73744669
31/01/2013,20.51164303
1/02/2013,20.44309196
2/02/2013,19.63590171
3/02/2013,20.57893968
4/02/2013,20.44048796
5/02/2013,20.65934473
6/02/2013,21.20856553
7/02/2013,22.11776518
8/02/2013,22.78736505
9/02/2013,23.73386015
10/02/2013,23.90028936
11/02/2013,24.49727269
12/02/2013,24.97973641
13/02/2013,24.64165093
14/02/2013,27.28238982
15/02/2013,27.17126923
16/02/2013,27.34616356
17/02/2013,26.92725138
18/02/2013,26.92886764
19/02/2013,29.41362438
20/02/2013,29.81980723
21/02/2013,29.81806892
22/02/2013,30.47265653
23/02/2013,29.80645455
24/02/2013,29.88284849
25/02/2013,30.35203309
26/02/2013,31.15553735
27/02/2013,31.24026108
28/02/2013,33.37529394
1/03/2013,34.60625703
2/03/2013,34.14351592
3/03/2013,34.45174048
4/03/2013,36.37626525
5/03/2013,40.67295399
6/03/2013,43.28499619
7/03/2013,41.94744072
8/03/2013,43.90292891
9/03/2013,46.88858661
10/03/2013,46.06603846
11/03/2013,48.27507458
12/03/2013,44.41354526
13/03/2013,47.01619085
14/03/2013,46.92556255
15/03/2013,46.90251725
16/03/2013,47.1570157
17/03/2013,47.33349978
18/03/2013,51.36543639
19/03/2013,59.49860111
20/03/2013,63.6874855
21/03/2013,70.91752501
22/03/2013,69.84608454
23/03/2013,64.38311637
24/03/2013,71.69042421
25/03/2013,74.31408925
26/03/2013,78.61419743
27/03/2013,88.85207991
28/03/2013,87.67317396
29/03/2013,90.29569936
30/03/2013,92.18995999
31/03/2013,93.89923842
1/04/2013,103.5803469
2/04/2013,116.6799442
3/04/2013,131.3848094
4/04/2013,133.0071205
5/04/2013,142.6260655
6/04/2013,143.081823
7/04/2013,162.8522146
8/04/2013,186.3511618
9/04/2013,230.6829967
10/04/2013,161.1928897
11/04/2013,82.90158504
12/04/2013,111.4763732
13/04/2013,97.60907187
14/04/2013,88.8614914
15/04/2013,80.87469317
16/04/2013,68.28313873
17/04/2013,92.86403691
18/04/2013,108.6283451
19/04/2013,119.0122832
20/04/2013,128.2082889
21/04/2013,118.4832438
22/04/2013,126.3142718
23/04/2013,142.1272181
24/04/2013,154.1332778
25/04/2013,141.0086593
26/04/2013,137.2096004
27/04/2013,128.2266696
28/04/2013,134.6235696
29/04/2013,143.8103782
30/04/2013,139.1296475
1/05/2013,116.113801
2/05/2013,106.3409847
3/05/2013,96.31684027
4/05/2013,112.4976364
5/05/2013,116.4887158
6/05/2013,112.1185962
7/05/2013,111.6092129
8/05/2013,113.1360619
9/05/2013,111.9745327
10/05/2013,117.6910369
11/05/2013,115.4997777
12/05/2013,114.8856756
13/05/2013,117.4044566
14/05/2013,107.8655666
15/05/2013,108.9868524
16/05/2013,112.9178741
17/05/2013,117.284616
18/05/2013,118.1698767
19/05/2013,117.0338802
20/05/2013,117.8186365
21/05/2013,117.2520409
22/05/2013,118.9781736
23/05/2013,123.726156
24/05/2013,128.9710807
25/05/2013,128.8449153
26/05/2013,130.1586011
27/05/2013,126.3929059
28/05/2013,125.9045953
29/05/2013,129.5648124
30/05/2013,126.5130684
31/05/2013,127.8164889
1/06/2013,128.7911511
2/06/2013,122.6267089
3/06/2013,122.9491879
4/06/2013,120.1899687
5/06/2013,120.8699238
6/06/2013,119.0539757
